Date,Component,Type,Event,Event ID
2026-08-25 15:56:01,sflib,STATUS,Downloading configuration data from: https://publicsuffix.org/list/effective_tld_names.dat,1
2026-08-25 15:56:01,sflib,STATUS,Scan [AC6CEE46] for 'www.google.com' initiated.,2
2026-08-25 15:56:02,sflib,STATUS,sfp__stor_db module loaded.,3
2026-08-25 15:56:02,sflib,STATUS,sfp_abstractapi module loaded.,4
2026-08-25 15:56:02,sflib,STATUS,sfp_abusech module loaded.,5
2026-08-25 15:56:02,sflib,STATUS,sfp_abuseipdb module loaded.,6
2026-08-25 15:56:02,sflib,STATUS,sfp_abusix module loaded.,7
2026-08-25 15:56:04,sflib,STATUS,"Fetching (GET): https://raw.githubusercontent.com/WebBreacher/WhatsMyName/master/web_accounts_list.json (proxy=None, user-agent=SpiderFoot, timeout=30, cookies=None)",8
2026-08-25 15:56:05,sflib,STATUS,Fetched https://raw.githubusercontent.com/WebBreacher/WhatsMyName/master/web_accounts_list.json (14 bytes in 0.38123035430908203s),9
2026-08-25 15:56:05,sfp_accounts,ERROR,Unable to parse social media accounts list: Extra data: line 1 column 4 (char 3),10
2026-08-25 15:56:05,sflib,STATUS,sfp_accounts module loaded.,11
2026-08-25 15:56:05,sflib,STATUS,sfp_adblock module loaded.,12
2026-08-25 15:56:05,sflib,STATUS,sfp_adguard_dns module loaded.,13
2026-08-25 15:56:06,sflib,STATUS,sfp_ahmia module loaded.,14
2026-08-25 15:56:06,sflib,STATUS,sfp_alienvault module loaded.,15
2026-08-25 15:56:06,sflib,STATUS,sfp_alienvaultiprep module loaded.,16
2026-08-25 15:56:06,sflib,STATUS,sfp_apple_itunes module loaded.,17
2026-08-25 15:56:06,sflib,STATUS,sfp_archiveorg module loaded.,18
2026-08-25 15:56:06,sflib,STATUS,sfp_arin module loaded.,19
2026-08-25 15:56:06,sflib,STATUS,sfp_azureblobstorage module loaded.,20
2026-08-25 15:56:06,sflib,STATUS,sfp_badpackets module loaded.,21
2026-08-25 15:56:06,sflib,STATUS,sfp_base64 module loaded.,22
2026-08-25 15:56:06,sflib,STATUS,sfp_bgpview module loaded.,23
2026-08-25 15:56:06,sflib,STATUS,sfp_binaryedge module loaded.,24
2026-08-25 15:56:06,sflib,STATUS,sfp_bingsearch module loaded.,25
2026-08-25 15:56:06,sflib,STATUS,sfp_bingsharedip module loaded.,26
2026-08-25 15:56:08,sflib,STATUS,sfp_binstring module loaded.,27
2026-08-25 15:56:08,sflib,STATUS,sfp_bitcoin module loaded.,28
2026-08-25 15:56:08,sflib,STATUS,sfp_bitcoinabuse module loaded.,29
